"audio_stop_number","object_id","media_url","title","in_gallery_version","stop_type","","","",""
"288","5665","p288.mp3","Elmslie, Screen Fragment","1","quick","","","",""
"289","","p289.mp3","Amulung, Glass Candlestick","1","quick","","","",""
"290","33713","p290.mp3","Sevres, Benjamin Franklin Plate","1","quick","","","",""
"293","","p293.mp3","Bakewell, Celery Vases","1","quick","","","",""
"294","45278","p294.mp3","Cologne Bottle  Falcon/Apsley","1","quick","","","",""
"295","27055","p295.mp3","Amethyst Footed Compote","1","quick","","","",""
"296","5167","p296.mp3","Yellow, Anthropologie","1","quick","","","",""
"297","","p297.mp3","Moccasin Case","1","quick","","","",""
"298","5890","p298.mp3","Nakoda, A'Ani Beaded Moccasins","1","quick","","","",""
"299","5968","p299.mp3","Iatmul Mei Mask","1","quick","","","",""
"300","4558","p300.mp3","Inca, Kero","1","quick","","","",""
"307","3361","p307.mp3","Majnun in the Wilderness, India","1","quick","","","",""
"309","","p309.mp3","Central Thai Ceramics Panel","1","quick","","","",""
"313","","p313.mp3","Dressing the Torah Panel","1","quick","","","",""
"320","1512","p320.mp3","Fra Angelico, Saint Benedict","1","quick","","","",""
"321","","p321.mp3","Japanese Porcelain Panel","1","quick","","","",""
"322","3213","p322.mp3","Yamada Doan, Tiger and Dragon Screen","1","quick","","","",""
"323","2225","p323.mp3","Madonna & Child D'Ancona Enthroned","1","quick","","","",""
"324","1508","p324.mp3","Nolde, Evening Glow","1","quick","","","",""
"325","4464","p325.mp3","Title Page from a Buddhist Manuscript","1","quick","","","",""
"326","4829","p326.mp3","Raja Bikram and the Angels, India","1","quick","","","",""
"327","67033","p327.mp3","Tanshin, Phoenixes and Paulownia","1","quick","","","",""
"332","63394","p332.mp3","Kondo Takahiro, Galaxy","1","quick","","","",""
"333","","p333.mp3","Japanese Lacquer Panel","1","quick","","","",""
"334","1375","p334.mp3","Bernini, Portrait Bust of Pope Clement X","1","quick","","","",""
"335","63393","p335.mp3","Zenji, Shining Sea Reflecting on Clouds","1","quick","","","",""
"336","2205","p336.mp3","Bust of Madame Serilly","1","quick","","","",""
"337","","p337.mp3","Scenes of Rice Cultivation, Set of 4 Folding Screens","1","quick","","","",""
"338","5929","p338.mp3","Shimaoka Tatsuzo, Bowl","1","quick","","","",""
"340","18573","p340.mp3","Sansetsu, Taoist Immortals","1","quick","","","",""
"342","","p342.mp3","Ewer Stand","1","quick","","","",""
"344","24494","p344.mp3","Tagasode (Whose Sleeves?)","1","quick","","","",""
"344","24494","p344.mp3","Tagasode (Whose Sleeves?)","1","quick","","","",""
"345","12948","p345.mp3","Standing Buddha","1","quick","","","",""
"345","646","p345.mp3","Pair of Bodhisattvas","1","quick","","","",""
"346","807","p346.mp3","Bodhisattva Kuan-Yin and Flying Apsaras","1","quick","","","",""
"347","40660","p347.mp3","Nine Dragon Box","1","quick","","","",""
"347","40663","p347.mp3","Cover of a Chun Box","1","quick","","","",""
"347","40633","p347.mp3","Octagonal Box","1","quick","","","",""
"347","5192","p347.mp3","Cosmetic Cabinet","1","quick","","","",""
"348","60728","p348.mp3","Celestial Horse (2 labels)","1","quick","","","",""
"349","12088","p349.mp3","Commemorative Gate","1","quick","","","",""
"351","1500","p351.mp3","Lu, A Poet Contemplating a Waterfall","1","quick","","","",""
"352","","p352.mp3","Baccarat, Punch Bowl Set","1","quick","","","",""
"353","32122","p353.mp3","Seated Kuan-Yin","1","quick","","","",""
"356","97646","p356.mp3","Ancient Lacquer Ware","1","quick","","","",""
"357","5790","p357.mp3","Portrait of Confucius","1","quick","","","",""
"360","1413","p360.mp3","Monet, The Japonese Footbridge","1","quick","","","",""
"361","887","p361.mp3","Head of the Buddha, Thailand or Cambodia","1","quick","","","",""
"361","889","p361.mp3","Head of a Buddha, Cambodia","1","quick","","","",""
"361","1752","p361.mp3","Head from an Image of Vishnu or Deified King, Cambodia","1","quick","","","",""
"362","4379","p362.mp3","Gowri Shankaram Necklace","1","quick","","","",""
"363","376","p363.mp3","Shiva Nataraja (Lord of the Dance)","1","quick","","","",""
"364","5178","p364.mp3","Attendant to the King of Hell","1","quick","","","",""
"365","","p365.mp3","Korean Celadon Panel","1","quick","","","",""
"366","","p366.mp3","Ksitigarbha and the Ten Kings of Hell","1","quick","","","",""
"368","3675","p368.mp3","Pair of Palanquin Hooks","1","quick","","","",""
"369","","p369.mp3","Yoruba, Pair of Ere Ibeji","1","quick","","","",""
"370","2540","p370.mp3","Japan, Landscape, 18th C","1","quick","","","",""
"370","5613","p370.mp3","Kaioku, Autumn Thoughts on a Garden Landscape","1","quick","","","",""
"371","4362","p371.mp3","Kuba, Itwomba","1","quick","","","",""
"372","3053","p372.mp3","Paul Manship, Flight of Night","1","quick","","","",""
"373","2570","p373.mp3","Vigee-Le Brun, Portrait of Countess Bucquoi, nee Parr","1","quick","","","",""
"374","1820","p374.mp3","N.C. Wyeth, Rural Delivery","1","quick","","","",""
"375","1850","p375.mp3","Vasari, Six Tuscan Poets","1","quick","","","",""
"376","547","p376.mp3","Master of the Legend of St. Lucy","1","quick","","","",""
"377","486","p377.mp3","Thomas Sully, Portrait of George Washington","1","quick","","","",""
"378","1613","p378.mp3","Castiglione, The Immaculate Conception","1","quick","","","",""
"379","","p379.mp3","Modigliani, Little Servant Girl","1","quick","","","",""
"380","2242","p380.mp3","Dix, Little Girl","1","quick","","","",""
"381","577","p381.mp3","Eakins, Portrait of Elizabeth L. Burton","1","quick","","","",""
"382","2280","p382.mp3","Debat-Ponsan, Love Dies in Time","1","quick","","","",""
"383","60587","p383.mp3","Dickert, Flintlock Rifle","1","quick","","","",""
"384","2245","p384.mp3","Boucher, St. John the Baptist","1","quick","","","",""
"385","1429","p385.mp3","Derain, St. Paul's Cathedral","1","quick","","","",""
"386","1315","p386.mp3","Germany, Aquamanile","1","quick","","","",""
"387","6827","p387.mp3","Powderhorn","1","quick","","","",""
"388","14148","p388.mp3","Germany, Armor","1","quick","","","",""
"389","3058","p389.mp3","Braque, The Viaduct at L'Estaque","1","quick","","","",""
"390","1162","p390.mp3","Matisse, Boy with a Butterfly Net","1","quick","","","",""
"391","1639","p391.mp3","Kandinsky, Study for Improvisation V","1","quick","","","",""
"392","2724","p392.mp3","Kirchner, Dance Training","1","quick","","","",""
"393","1271","p393.mp3","Kirchner, Modern Bohemia","1","quick","","","",""
"395","30704","p395.mp3","Evans, Sewing Box","1","quick","","","",""
"396","2202","p396.mp3","Evans, A Miner's Home","1","quick","","","",""
"397","10670","p397.mp3","Evans, Roadside Stand","1","quick","","","",""
"398","3283","p398.mp3","Stieglitz, The Steerage","1","quick","","","",""
"399","10526","p399.mp3","Fassbender, The White Night","1","quick","","","",""
"400","4383","p400.mp3","Lange, Migrant Mother","1","quick","","","",""
"402","9049","p402.mp3","Pendant Representing an Eagle","1","quick","","","",""
"403","673","p403.mp3","Nazca, Double-Spout Vessel","1","quick","","","",""
"404","759","p404.mp3","Maya, Whistle in Form of a Dignitary","1","quick","","","",""
"405","5487","p405.mp3","Maya, Chocolate Pot","1","quick","","","",""
"407","72225","p407.mp3","Tutsi, Basket","1","quick","","","",""
"408","","p408.mp3","Bassa, Most Generous Woman Spoon","1","quick","","","",""
"409","3183","p409.mp3","Djenne, Equestrian Figure","1","quick","","","",""
"410","1938","p410.mp3","Guro, Mask","1","quick","","","",""
"411","12111","p411.mp3","Zulu, Beer Pot","1","quick","","","",""
"412","136","p412.mp3","St. Catherine","1","quick","","","",""
"413","3723","p413.mp3","Norway, Tankard","1","quick","","","",""
"414","1371","p414.mp3","Paolozzi, Little King","1","quick","","","",""
"415","3492","p415.mp3","Palagi, Armchair","1","quick","","","",""
"417","9960","p417.mp3","Bugatti, Two-Fold Screen","1","quick","","","",""
"418","2803","p418.mp3","Jacob, Armchair","1","quick","","","",""
"419","","p419.mp3","Ostrich Egg Cup & Cover","1","quick","","","",""
"420","2279","p420.mp3","Gilbert, Kiss of Victory","1","quick","","","",""
"421","60232","p421.mp3","Katz, The Adoration of the Magi","1","quick","","","",""
"422","5779","p422.mp3","Gatti, Coffer","1","quick","","","",""
"423","45256","p423.mp3","Pair of Armoires","1","quick","","","",""
"424","13020","p424.mp3","Jaccard, Presentation Pitcher","1","quick","","","",""
"425","3979","p425.mp3","Redwood Glass Works, Pitcher","1","quick","","","",""
"426","1217","p426.mp3","Powers, Bust of George Washington","1","quick","","","",""
"427","3051","p427.mp3","Ceremonial Skirt","1","quick","","","",""
"429","","p429.mp3","20th Century Fiber Sculpture Panel","1","quick","","","",""
"434","","p434.mp3","North African Textiles Panel (2 quickstops #'s)","1","quick","","","",""
"439","109","p439.mp3","Esther & Ahaseurus (15th -18th C European Tapestries overview)","1","quick","","","",""
"439","521","p439.mp3","End of the Hunt (15th -18th C European Tapestries overview)","1","quick","","","",""
"439","776","p439.mp3","Queen Distributing the Booty","1","quick","","","",""
"447","31441","p447.mp3","Yaka Headrest","1","quick","","","",""
"448","","p448.mp3","Kwaku, A Six Figure Benpo","1","quick","","","",""
"449","","p449.mp3","Luba Kabila","1","quick","","","",""
"450","3633","p450.mp3","Chokwe, Throne","1","quick","","","",""
"452","2805","p452.mp3","Wood, Birthplace of Herbert Hoover","1","quick","","","",""
"453","689","p453.mp3","Peto, Reminesences of 1865","1","quick","","","",""
"454","1689","p454.mp3","Manet, The Smoker","1","quick","","","",""
"455","774","p455.mp3","Degas, Portrait of Mlle. Hortense V.","1","quick","","","",""
"456","1509","p456.mp3","Sargent,  The Birthday Party","1","quick","","","",""
"458","1883","p458.mp3","Senfo, Seated Figure","1","quick","","","",""
"459","11838","p459.mp3","Davidson, East 100th Street","1","quick","","","",""
"460","4487","p460.mp3","Rothstein, Dust Storm","1","quick","","","",""
"461","10632","p461.mp3","Cartier-Bresson, On the Banks of the Marne","1","quick","","","",""
"462","4976","p462.mp3","Wu Reception Hall Folding Screen","1","quick","","","",""
"463","1224","p463.mp3","Kirchner, Seated Girl (Franzi Fehrmann)","1","quick","","","",""
"464","1627","p464.mp3","Balthus, The Living Room","1","quick","","","",""
"465","1471","p465.mp3","Guercino, Erminia and the Shepherds","1","quick","","","",""
"466","278","p466.mp3","El Greco, Christ Driving the Money Changers","1","quick","","","",""
"467","12830","p467.mp3","Dessoir, Etagere","1","quick","","","",""
"468","1935","p468.mp3","Powers, Bust of Greek Slave","1","quick","","","",""
"469","4395","p469.mp3","Biemann, Covered Goblet","1","quick","","","",""
"470","167","p470.mp3","Meads & Alvord, Desk and Bookcase","1","quick","","","",""
"471","2901","p471.mp3","Tiffany, Pitcher","1","quick","","","",""
"472","1369","p472.mp3","Stettheimer, Portrait of our Nurse","1","quick","","","",""
"473","546","p473.mp3","Wright, Portrait of Dorothy Beridge","1","quick","","","",""
"474","773","p474.mp3","Leger, Tble and Fruit","1","quick","","","",""
"475","3266","p475.mp3","Monet, Still Life of Pheasant and Plovers","1","quick","","","",""
"476","1274","p476.mp3","Brancusi, Golden Bird","1","quick","","","",""
"477","1331","p477.mp3","Relli, Trial","1","quick","","","",""
"478","1784","p478.mp3","Costa, Portrait of a Cardinal in His Study","1","quick","","","",""
"479","1851","p479.mp3","Parrish, Dream Castle in the Sky","1","quick","","","",""
"480","","p480.mp3","Minor White","1","quick","","","",""
"481","","p481.mp3","Julia Margaret Cameron","1","quick","","","",""
"482","","p482.mp3","Frances Frith","1","quick","","","",""
"483","","p483.mp3","Eugene Atget","1","quick","","","",""
"484","","p484.mp3","August Sander","1","quick","","","",""
"485","","p485.mp3","Edward Weston","1","quick","","","",""
"486","","p486.mp3","D.J. Ruzicka","1","quick","","","",""
"487","","p487.mp3","Robert Frank","1","quick","","","",""
"488","1987","p488.mp3","Lee Freelander","1","quick","","","",""
"489","","p489.mp3","Bernice Abbott","1","quick","","","",""
"490","","p490.mp3","Ansel Adams","1","quick","","","",""
"491","","p491.mp3","Diane Arbus","1","quick","","","",""
"492","","p492.mp3","Richard Avedon","1","quick","","","",""
"493","","p493.mp3","Ruth Bernhardt","1","quick","","","",""
"494","","p494.mp3","Consuelo Kanaga","1","quick","","","",""
"495","","p495.mp3","Arnold Newman","1","quick","","","",""
"496","","p496.mp3","Gordon Parks","1","quick","","","",""
"497","","p497.mp3","Helen Levitt","1","quick","","","",""
"498","","p498.mp3","Gilles Peress","1","quick","","","",""
"499","3346","p499.mp3","Goblet","1","quick","","","",""
"503","","p503.mp3","Snake Jug - Whiskey Jug with snakes","1","quick","","","",""
"504","89293","p504.mp3","Lux, Presentation Plate, Cup and Saucer","1","quick","","","",""
"505","19376","p505.mp3","Grecian Style Wardrobe","1","quick","","","",""
"506","91482","p506.mp3","Gevekki Dance Mask","1","quick","","","",""
"507","95061","p507.mp3","Ceremonial Bowl - 2 birds - Feast Bowl","1","quick","","","",""
"508","95059","p508.mp3","Bird Head Club from New Caldona","1","quick","","","",""
"509","89938","p509.mp3","Abalam, Ancestor wall decoration","1","quick","","","",""
"510","5894","p510.mp3","Abalam, Helmet Yam Mask","1","quick","","","",""
"511","1926","p511.mp3","Moiai Kava Kava","1","quick","","","",""
"512","1819","p512.mp3","Wyeth, Bronco Buster","1","quick","","","",""
"513","1822","p513.mp3","Goodwin, A Bear Chance","1","quick","","","",""
"514","1263","p514.mp3","Barye, Theseus Slaying a Centaur","1","quick","","","",""
"515","1626","p515.mp3","Vernet, Imaginary Italian Harbor Scene","1","quick","","","",""
