audio_stop_number,object_id,media_url,title,in_gallery_version,stop_type,Summary,Comments,Keep?,media_url,audio file URL, collections URL,media_url
136,1239,p136.mp3,"Rodin, The Age of Bronze",1,quick,,,,p136.mp3,https://audio-tours.s3.amazonaws.com/p136.mp3,http://collections.artsmia.org/art/1239,
137,601,p137.mp3,"Paul Gauguin, Under the Pandanus",1,quick,,,,p137.mp3,https://audio-tours.s3.amazonaws.com/p137.mp3,http://collections.artsmia.org/art/601,
140,,p140.mp3,"Revere, Tea service",1,quick,,,,p140.mp3,https://audio-tours.s3.amazonaws.com/p140.mp3,http://collections.artsmia.org/art/,
141,6785,p141.mp3,"Attribued to August Thonet,  Rocking chaise",1,quick,,,,p141.mp3,https://audio-tours.s3.amazonaws.com/p141.mp3,http://collections.artsmia.org/art/6785,
144,31247,p144.mp3,"McKim, Mead, White, Model of original scheme for the MIA",1,quick,"Talks about the ambitious size of the original plan, only a small 
part was actually built",Includes two guide #s: 144 & 835,No,p144.mp3,https://audio-tours.s3.amazonaws.com/p144.mp3,http://collections.artsmia.org/art/31247,
145,2421,p145.mp3,"Aslak Lie, Cupboard",1,quick,"Talks about the inscription, the type of cupboard and the purpose 
it served as the centerpiece of the parlor",Very similar to the wall label,No,p145.mp3,https://audio-tours.s3.amazonaws.com/p145.mp3,http://collections.artsmia.org/art/2421,
146,3363,p146.mp3,"Frank Lloyd Wright, Side chair",1,quick,"Tall backs, not comfortable, talks about Wright's desire to design all parts 
of a house including furniture",No audio available online,Yes,p146.mp3,https://audio-tours.s3.amazonaws.com/p146.mp3,http://collections.artsmia.org/art/3363,
148,1270,p148.mp3,"Max Beckmann, Blindman's Buff",1,quick,,,,p148.mp3,https://audio-tours.s3.amazonaws.com/p148.mp3,http://collections.artsmia.org/art/1270,
150,3885,p150.mp3,"Bob Thompson, Homage to Nina Simone",1,quick,,,,p150.mp3,https://audio-tours.s3.amazonaws.com/p150.mp3,http://collections.artsmia.org/art/3885,
151,62,p151.mp3,"Boudin, Vacationers at the Beach at Trouville",1,quick,,,,p151.mp3,https://audio-tours.s3.amazonaws.com/p151.mp3,http://collections.artsmia.org/art/62,
157,1341,p157.mp3,"Anthony van Dyck, The Betrayal of Christ",1,quick,"Talks about the moment depicted here, Jesus only area of calm in the 
painting, this work was a study for a large altarpiece, energy in brushstrokes","Good info, but odd echo in audio that is distracting",Yes,p157.mp3,https://audio-tours.s3.amazonaws.com/p157.mp3,http://collections.artsmia.org/art/1341,
164,59614,p164.mp3,Zenshin-an Teahouse,1,quick,,,,p164.mp3,https://audio-tours.s3.amazonaws.com/p164.mp3,http://collections.artsmia.org/art/59614,
167,,p167.mp3,"Tsujimura Shiro, Ido-style Teabowl",1,quick,,,,p167.mp3,https://audio-tours.s3.amazonaws.com/p167.mp3,http://collections.artsmia.org/art/,
